// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// Skip any commandline args if /usr/bin/env is in play
// TODO: check if too many open files, GC and try again
// line 1493
/* \\u{H HH HHH HHHH HHHHH HHHHHH ...} */
//static private final String TRANSLIT = "//translit";
// depending on size of original args, call appropriate utility method
// one word type name that starts lower-case...it may be a primitive type
// line 1492
//[RubyModule] //[RubyModule, String]
// We can just use dt, since it is immutable
// line 947
// proxy class for concrete classes.  also used for // "concrete" interfaces, which is why we have two fields
// switch // for // no more data, OK for strict to go calc
// check for thread events, in case we've been woken up to die
// line 466
/* Include pipes on multiple arg type*/
// FIXME: \r logic needed
// TODO: public only?
// line 313
// If we have more than one argument, then make sure the array is not ObjectSpaced.
// ENEBO: Can these be fast?
/* Try and unload the autoload specified from internedName */
// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)
// line 729
// TODO: for now, we use a faithful // reimplementation of MRI's algorithm, // but should use UTF8Encoding facilities // from Joni, once it starts prefroming // UTF-8 content validation.
// *must* be power of 2!
//if the low bit is set //set the high bit of the result
// line 1335
// single precision, little-endian
// FIXME: what should these really be? Numeric?       assert x instanceof RubyComplex && y instanceof RubyComplex;
// line 1354
// MRI behavior: swallow StandardErorrs
// will have a trailing '.'
// NE == nonzero (i.e. true)
// If true, returns the rest of the array starting at the index
// // this test really means, that this is a ruby-defined subclass of a java class //
// ignore error
// MRI error message says Class, even though Module is ok
"/*         * First we need to register the JRuby engine.         */"
// If there is a jar-file with the required name, we add this to the class path.
"/* ============================     * End of hash internals     * ============================     */"
// ruby constants for strings (should this be moved somewhere else?)
// tc // under method // self // under method // name // args
// Bootstrap the top of the hierarchy
//[IRubyObject, RubyClass, Visibility] //[IRubyObject, RubyClass] //[IRubyObject]
//IRubyObject family = args[2];
// arity ok, continue
// line 1045
// vertical tab
// SSS FIXME: Traverse up the scope hierarchy to find the constant as long as the parent is a static scope
// Special form of sprintf that returns a RubyString and handles // tainted strings correctly.
// static scope
// add all instance and static methods
// note all fields are final -- rehash creates new entries when necessary. // as documented in java.util.concurrent.ConcurrentHashMap.java, that will // statistically affect only a small percentage (< 20%) of entries for a given rehash.
// w_symbol
// Remove any relative prefix, e.g. "./foo/bar" becomes "foo/bar".
// verify the class
// explode array, it's an internal "args" array
// TODO: Ruby re-checks that the buffer string hasn't been modified
// line 812
// This method is called to build assignments for a multiple-assignment instruction
// verify it if it's there
// line 1093
// Support IO modes that this object was opened with
// if len == 0 then shared empty
// FIXME we want to eliminate these type casts when possible
// Create package name, by splitting on / and joining all but the last elements with a ".", and downcasing them.
// line 1598
// fall back to system JCA providers
// Sometimes the value can be retrieved at "compile time".  If we succeed, nothing like it!   // We might not .. for the following reasons: // 1. The constant is missing, // 2. The reference is a forward-reference, // 3. The constant's value is only known at run-time on first-access (but, this is runtime, isn't it??) // 4. Our compiler isn't able to right away infer that this is a constant. // // SSS FIXME: // 1. The operand can be a literal array, range, or hash -- hence Operand //    because Array, Range, and Hash derive from Operand and not Constant ... //    Is there a way to fix this impedance mismatch? // 2. It should be possible to handle the forward-reference case by creating a new //    ForwardReference operand and then inform the scope of the forward reference //    which the scope can fix up when the reference gets defined.  At code-gen time, //    if the reference is unresolved, when a value is retrieved for the forward-ref //    and we get a null, we can throw a ConstMissing exception!  Not sure! //
// line 1295
// line 886
// Note that this object equality check is intentional, to ensure // the string and its interned version are the same object.
// line 1925
// double precision, big-endian
// promise to implement three to N with block
// We need this loop in order to be able to "unblock" the // join call without actually calling interrupt.
"/*     * Process {}'s (example: Dir.glob(""{jruby,jython}/README*"")      */"
// force static scope to claim restarg at 0, so it only implements the [] version of __file__
// line 851
/* rb_str_cmp_m */
// compile condition as non-expr and just compile "then" body
// set RubyClass
// line 1886
/* expected */
// base
// Store each line into this list if not null.
//[RubyClass]
// signed short, native
// never reached
// obtain d
// build "else" if it exists
// add all static variables
// load Object under value
// line 829
// 64-bit number, native (as fixnum)
// TODO: is this the right thing to do?
// build each "when"
// line 630
// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());
//RedoNode redoNode = (RedoNode)node;
// MRI 1.8.5-p12 doesn't support 1-char strings, but // YARV 0.4.1 does. I don't think it hurts to include // this; sprintf('%c','a') is nicer than sprintf('%c','a'[0])
// setup constants for public inner classes
//No ClassCastException!
// line 1716
// returns the stored value without processing undefs (autoloads)
// Make sure all arguments are modules before calling the callbacks
// // Keep a reference to the temporary memory in the cache so it does // not get freed by the GC until the struct is freed //
// line 1287
// add all name-to-class mappings
// The loop of "Square Root by Coupled Newton Iteration"
// normal items at the front or back of the masgn
// but there's a superclass passed in, use it
"/*     * This is the proper behavior for all non-expanded assigners which have a pre > 0.  The rest     * override this.     */"
// optimistic pass - calculate value as digits are processed // digits - lax rules // decimal digits - lax rules // exponent sign/digits - lax rules // digits - strict rules // decimal digits - strict rules // exponent sign/digits - strict rules // complete calculation if possible
// restore context classloader, in case we're using a thread pool
// create a new variable using the prefix
// line 1758
// produce a nicer error since Rubyists aren't used to seeing this
// check if it's true, ending if not
// finally handling for abnormal exit
// only fill if there actually will remain trailing storage
// line 866
/* Time class methods */
// line 513
// escape
// fallback on non-pregenerated logic
// line 1154
// check current directory; if file exists, retrieve URL and return resource
/* last expression should not be void */
//System.err.println(" figureOutBase/base=" + base);
// limit the length of negatives if possible (also faster)
// In case when the number of occurences is // explicitly specified, we have to read up // the remaining garbage after the '\0' to // satisfy the requested pattern.
// admittedly inefficient
// trim trailing slashes
// XXX: 0xffff0000 on BE?
// set up a field for the CacheEntry // TODO: make this an array so it's not as much class metadata; similar to AbstractScript stuff
// line 432
// TODO: make threadsafe
// EQ == 0 (i.e. false)   //[C]
// main while loop (offset < length)
// rb_enc_str_coderange
/* 6:tags 16:addr 1:eos */
// include interface modules into the proxy class
// Dummy top-level method for the class
// no args, with block
// For b.foo
// unknown extension, fall back to search with extensions
// v is defined => It is no longer live before 'i'
// ruby interpreter compatibilty // Usage: ruby [switches] [--] [programfile] [arguments])
// Windows does not support these functions, so we won't even try // This also matches Ruby behavior for JRUBY-2353.
// construct new array proxy (ArrayJavaProxy)
// line 569
// generate block bodies initialization code
//         data.currentFile.callMethod(context, "lineno=", line);
// no matching ctor found
// Create list of interfaces to proxy (and make sure they really are interfaces)
// close it out
// Map of label & basic blocks with that label
// null channel always succeeds for all locking operations
// first try our custom-generated Unsafe
// new interrupt, to hopefully wake it out of any blocking IO
// keep cr ?
// no receiver for singleton class
// if rest args, excluding post args
// attempt to load the found library
// Raise an error if arity does not match requirements
// new scope for this invocation of the block, based on parent scope
// in 1.8 mode, this will be a RubyArray containing the arguments // in 1.9 mode, this will be an IRubyObject[]
// add main impl, used for detached or command-line execution of this script with a new runtime // root method of a script is always in stub0, method0
// end of parseable data, go to calc
/*self*/
// MRI also does a pointer comparison here
// many cases are ok to convert to float; if not one of these, error
// The method also needs a scope, do both
// JRUBY-2673: if wrapping a NativeException, use the actual Java exception's trace as our Java trace
// Special case for handling ACCMODE, since constantine will generate // an invalid value if it is not defined by the platform.
// RubySocket
// MRI issuses warning here on (RBIGNUM(x)->len * SIZEOF_BDIGITS * yy > 1024*1024)
// line 788
// include all interfaces
// A potentially previously close IO is being 'reopened'.
